"PR","TOTINC","GROSRT","ProvinceName"
10,34944.7848995111,708.516023900054,"Newfoundland & Labrador"
11,41668.0861759425,739.154398563734,"Prince Edward Island"
12,37980.907671107,808.236564079008,"Nova Scotia"
13,32954.8029321514,663.751449028299,"New Brunswick"
24,33664.1872040048,714.217564331118,"Quebec"
35,37488.6922627168,994.247758721497,"Ontario"
46,49991.618134715,720.041623488774,"Manitoba"
47,58881.4956350938,834.679179397643,"Saskatchewn"
48,56179.2777571482,1164.2820893675,"Alberta"
59,43443.7812708472,1070.35640426951,"British Columbia"
60,135289.94,900.881111111111,"Northern Canada"
