"PR","HDGREE","Freq","TOTINC"
"10","1",2913,27219.716443529
"10","10",107,53899.0560747664
"10","11",47,333711.170212766
"10","12",348,100121.192528736
"10","13",43,115661.813953488
"10","2",2541,29046.2329791421
"10","3",775,36237.3406451613
"10","4",591,45228.9932318105
"10","5",283,32294.7173144876
"10","6",1166,37000.641509434
"10","7",578,51597.5865051903
"10","8",319,46188.1159874608
"10","9",980,68374.5214285714
"11","1",608,19554.0707236842
"11","10",36,56498.75
"11","11",7,142359.428571429
"11","12",81,176457.518518519
"11","13",10,88695.4
"11","2",769,71995.7022106632
"11","3",157,90971.3375796178
"11","4",122,115227.852459016
"11","5",63,29539.6825396825
"11","6",429,97423.3566433566
"11","7",118,116413.542372881
"11","8",86,155102.755813953
"11","9",326,214351.17791411
"12","1",4178,27025.4856390618
"12","10",384,53279.0130208333
"12","11",111,120951.009009009
"12","12",770,63478.8402597403
"12","13",132,165741.295454545
"12","2",4505,30796.4124306326
"12","3",1377,38853.5039941903
"12","4",899,62594.4505005562
"12","5",465,34442.9483870968
"12","6",2623,43028.2035836828
"12","7",757,54655.6367239102
"12","8",784,69135.256377551
"12","9",2514,63127.2195704057
"13","1",3784,34287.5837737844
"13","10",233,57926.5579399142
"13","11",62,151040.983870968
"13","12",380,137345.978947368
"13","13",80,93629.6625
"13","2",4150,30021.514939759
"13","3",965,41321.9222797927
"13","4",753,65014.6029216467
"13","5",405,29829.4320987654
"13","6",2048,50487.8334960938
"13","7",574,45416.9128919861
"13","8",475,61845.9684210526
"13","9",1867,93094.8109266203
"24","1",38002,21531.6189674228
"24","10",3602,76680.4003331483
"24","11",864,155652.896990741
"24","12",6754,77870.9025762511
"24","13",1247,101165.174819567
"24","2",38181,29976.0163693984
"24","3",20411,36523.9239625692
"24","4",8064,38457.7550843254
"24","5",1717,45612.8258590565
"24","6",10580,35382.9274102079
"24","7",18048,44285.859375
"24","8",8619,53080.5516881309
"24","9",21695,61435.5719290159
"35","1",51001,24613.9906668497
"35","10",8238,66886.9168487497
"35","11",1665,142813.284684685
"35","12",13922,88280.6111909208
"35","13",2307,108954.649328132
"35","2",74379,34818.4116215598
"35","3",11035,39833.7229723607
"35","4",8873,50210.9301250986
"35","5",6326,41172.5885235536
"35","6",26472,46998.4838697492
"35","7",22672,54294.6006527876
"35","8",11850,52360.1666666667
"35","9",42269,68147.8703778183
"46","1",6226,48313.4070028911
"46","10",517,127691.152804642
"46","11",128,125336.4375
"46","12",647,66844.0633693972
"46","13",154,152797.363636364
"46","2",6911,47999.3691216901
"46","3",1302,48409.2066052227
"46","4",1029,63782.074829932
"46","5",917,37085.3958560523
"46","6",2195,58079.2059225512
"46","7",968,56364.3636363636
"46","8",1007,71990.3485600794
"46","9",3183,74990.9070059692
"47","1",4976,42837.8295819936
"47","10",214,67556.1869158879
"47","11",86,166795.430232558
"47","12",467,71297.7451820128
"47","13",110,103895.4
"47","2",5803,49277.2029984491
"47","3",1177,61971.0229396771
"47","4",1229,83555.3287225386
"47","5",675,52843.3762962963
"47","6",1869,68468.5478865704
"47","7",708,66486.761299435
"47","8",835,48801.6874251497
"47","9",2453,102952.986547085
"48","1",14315,35798.3965071603
"48","10",1228,107294.272801303
"48","11",419,212205.644391408
"48","12",2883,115722.631980576
"48","13",547,172504.533820841
"48","2",20301,45877.5601201911
"48","3",3147,67029.540514776
"48","4",4945,70622.6630940344
"48","5",2189,43691.3197807218
"48","6",7960,62187.0659547739
"48","7",3949,72391.6102810838
"48","8",3228,59843.1217472119
"48","9",11497,84481.4003653127
"59","1",16145,24893.3317435739
"59","10",2180,81177.6724770642
"59","11",626,154767.384984026
"59","12",4468,91536.544091316
"59","13",823,122838.337788578
"59","2",27266,36212.254602802
"59","3",5264,49501.5516717325
"59","4",4970,56897.3062374245
"59","5",3585,49452.3319386332
"59","6",7970,45577.565119197
"59","7",5241,60681.7807670292
"59","8",5781,51036.4471544715
"59","9",14278,63386.3298781342
"60","1",797,89758.5144291092
"60","10",6,84333.3333333333
"60","12",65,231198.953846154
"60","2",451,177497.933481153
"60","3",90,148287.677777778
"60","4",99,67259.595959596
"60","5",45,44000
"60","6",174,160718.097701149
"60","7",113,151575.752212389
"60","8",24,422620.333333333
"60","9",278,140490.622302158
