"LOCATION","TIME","Value"
"CAN",1970,98753.8565
"CAN",1971,108041.1042
"CAN",1972,118856.9252
"CAN",1973,134053.0654
"CAN",1974,151487.4903
"CAN",1975,168534.7267
"CAN",1976,187029.1021
"CAN",1977,205499.5565
"CAN",1978,228623.3055
"CAN",1979,256915.3278
"CAN",1980,286142.5001
"CAN",1981,323817.2301
"CAN",1982,332894.0524
"CAN",1983,355029.9786
"CAN",1984,389410.4894
"CAN",1985,420894.9799
"CAN",1986,438669.6138
"CAN",1987,468289.7836
"CAN",1988,506152.7621
"CAN",1989,538052.2808
"CAN",1990,558816.8605
"CAN",1991,565143.0412
"CAN",1992,583129.5916
"CAN",1993,612855.6274
"CAN",1994,654022.5781
"CAN",1995,685541.4527
"CAN",1996,709302.4016
"CAN",1997,752318.5152
"CAN",1998,790003.1995
"CAN",1999,843506.5208
"CAN",2000,898024.6847
"CAN",2001,934754.5473
"CAN",2002,967558.4379
"CAN",2003,1019620.3825
"CAN",2004,1079987.4082
"CAN",2005,1167581.2349
"CAN",2006,1238000.7319
"CAN",2007,1297164.5049
"CAN",2008,1339060.5528
"CAN",2009,1304488.2866
"CAN",2010,1361136.0517
"CAN",2011,1427466.5432
"CAN",2012,1464565.3363
"CAN",2013,1550269.8055
"CAN",2014,1617564.4901
"CAN",2015,1599827.5144
"CAN",2016,1625361.3473
"MEX",1970,88574.887
"MEX",1971,96954.8789
"MEX",1972,109737.928
"MEX",1973,125440.0446
"MEX",1974,145062.3426
"MEX",1975,167390.5869
"MEX",1976,184063.3182
"MEX",1977,202210.6486
"MEX",1978,234261.6952
"MEX",1979,276818.786
"MEX",1980,326904.6209
"MEX",1981,388857.3003
"MEX",1982,410060.9465
"MEX",1983,407940.4916
"MEX",1984,437620.3348
"MEX",1985,464142.6785
"MEX",1986,455732.2468
"MEX",1987,476032.3299
"MEX",1988,498834.0083
"MEX",1989,539985.5353
"MEX",1990,588340.9578
"MEX",1991,633592.0371
"MEX",1992,671550.0703
"MEX",1993,762445.47
"MEX",1994,821211.5909
"MEX",1995,789074.7114
"MEX",1996,830348.6967
"MEX",1997,910290.7615
"MEX",1998,968195.2596
"MEX",1999,1018601.794
"MEX",2000,1098476.631
"MEX",2001,1121256.4152
"MEX",2002,1137595.9666
"MEX",2003,1157241.3004
"MEX",2004,1231174.8635
"MEX",2005,1341775.4557
"MEX",2006,1479364.3266
"MEX",2007,1565705.4099
"MEX",2008,1653898.1904
"MEX",2009,1636996.8131
"MEX",2010,1743188.0099
"MEX",2011,1911319.0963
"MEX",2012,2012767.7814
"MEX",2013,2064490.9475
"MEX",2014,2171631.5955
"MEX",2015,2170274.5103
"MEX",2016,2266350.4612
"USA",1970,1075884
"USA",1971,1167770
"USA",1972,1282449
"USA",1973,1428549
"USA",1974,1548825
"USA",1975,1688923
"USA",1976,1877587
"USA",1977,2085951
"USA",1978,2356571
"USA",1979,2632143
"USA",1980,2862505
"USA",1981,3210956
"USA",1982,3344991
"USA",1983,3638137
"USA",1984,4040693
"USA",1985,4346734
"USA",1986,4590155
"USA",1987,4870217
"USA",1988,5252629
"USA",1989,5657693
"USA",1990,5979589
"USA",1991,6174043
"USA",1992,6539299
"USA",1993,6878718
"USA",1994,7308755
"USA",1995,7664060
"USA",1996,8100201
"USA",1997,8608515
"USA",1998,9089168
"USA",1999,9660624
"USA",2000,10284779
"USA",2001,10621824
"USA",2002,10977514
"USA",2003,11510670
"USA",2004,12274928
"USA",2005,13093726
"USA",2006,13855888
"USA",2007,14477635
"USA",2008,14718582
"USA",2009,14418739
"USA",2010,14964372
"USA",2011,15517926
"USA",2012,16155254.8
"USA",2013,16691517
"USA",2014,17427609
"USA",2015,18120714
"USA",2016,18624475
